gwcode,year,date,itt_alleg_vtall,itt_alleg_vtcriminal,itt_alleg_vtdissident,itt_alleg_vtmarginalized,itt_alleg_vtpow,itt_alleg_vtstateagent,itt_alleg_vtunst,itt_LoTUnknown,itt_LoTCriminal,itt_LoTDissident,itt_LoTMarginalized,itt_LoTStateAgent,itt_RstrctAccess,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,pop,ln_NY.GDP.MKTP.KD,norm_ln_NY.GDP.MKTP.KD,norm_ln_pop,v2x_elecoff,v2xel_frefair,v2asuffrage,v2x_jucon,v2xlg_legcon,v2clacjust,v2clsocgrp,v2pepwrses,v2pepwrsoc,regime,dd_democracy,LJI,post.sd,ht_colonial,mrs_legalsys,epr_groups,epr_elf,epr_excluded_groups_count,epr_excluded_group_pop,epr_inpower_groups_count,epr_inpower_groups_pop,epr_regaut_groups_count,epr_regaut_group_pop,norm_ln1p_epr_excluded_groups_count,norm_sqrt_epr_excluded_group_pop,internal_confl,internal_confl_major,internal_confl_minor,internal_confl_part,internal_confl_part_major,internal_confl_part_minor,war,war_major,war_minor,any_conflict,any_conflict_major,any_conflict_minor,ext_conf,ext_conf_major,ext_conf_minor,gtd_events,gtd_killed,ccp_torture,ccp_prerel,ccp_habcorp,ccp_dueproc,ccp_speedtri,gmfd_functionallyfree,igo_n,igo_total,igo_p,NE.TRD.GNFS.ZS,norm_ln_NE.TRD.GNFS.ZS,hro_n,hro_secloc,year_poly1,year_poly2,yy_Unknown,yy_Criminal,yy_Dissident,yy_Marginalized,yy_StateAgent
2,2005,2005-01-01,91,23,15,17,1,0,35,Routinely,Systematic,Systematic,No Allegations,Systematic,0,14408.0938404,3.345216063348757,48819.56494210316,2.4382162520784036,295129.501,9.57554539991065,2.8864070497431222,2.3113256600870957,1,0.8915253823744795,1,0.9515218872677378,0.9383605275571345,1.8107791954547183,0.6791405124621862,0.45864547271758094,1.1160780045337488,Presidential democracy,1,0.9863,0.0114,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,21,0,0,1,1,1,1,1,88,324,0.2716049382716049,25.5559940404642,-1.4303055854967683,NA,71,0.038667932337130034,0.041532600786267575,FALSE,TRUE,TRUE,FALSE,TRUE
20,1995,1995-01-01,5,1,1,2,0,0,1,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1102.8141707299399,2.6777084356611325,37600.11680604886,1.6138783037698679,29330.073,7.005620528840334,1.6492359216678825,0.6762166701703396,1,0.9548083538667875,1,0.9515228338336684,0.8944207872477601,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9817,0.015,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,1,1,91,323,0.28173374613003094,69.223123069147,0.10247661879652119,69,8,-0.03879820572245547,0.041672290343807275,FALSE,FALSE,FALSE,FALSE,FALSE
20,1996,1996-01-01,1,0,0,0,0,0,1,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1120.58103670769,1.611048030511824,37829.18247436376,0.6092153104110796,29622.132,7.021602612542603,1.6569297545676336,0.6832338776395642,1,0.9548083538667875,1,0.9515228338336684,0.8944207872477601,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.982,0.0141,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,89,325,0.27384615384615385,70.4289149766109,0.12904010788519227,76,8,-0.031051591916496923,0.01668292430045021,FALSE,FALSE,FALSE,FALSE,FALSE
20,1997,1997-01-01,0,0,0,0,0,0,0,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1168.53980324198,4.279812433306451,39077.481912172465,3.2998319185318246,29903.15,7.063510216934904,1.677104226897387,0.6899207976364403,1,0.9533060896296309,1,0.9515228338336684,0.8944207872477601,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9819,0.0142,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,88,328,0.2682926829268293,74.5167607036177,0.21582690426926282,83,8,-0.02330497811053837,-0.002756353501217277,FALSE,FALSE,FALSE,FALSE,FALSE
20,1998,1998-01-01,0,0,0,0,0,0,0,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1213.89970390352,3.8817591438215615,40224.478554688634,2.9351856526837383,30178.134,7.101593351982087,1.6954375858517068,0.6964035805064008,1,0.9533060896296309,1,0.9515228338336684,0.8944207872477601,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9813,0.015,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,1,1,88,337,0.26112759643916916,78.2803706410468,0.29161945060695005,80.5,8,-0.01555836430457982,-0.01664554306119519,FALSE,FALSE,FALSE,FALSE,FALSE
20,1999,1999-01-01,0,0,0,0,0,0,0,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1276.5759057314199,5.163210900072958,41918.328241199706,4.21099227975855,30453.884,7.151936698863037,1.7196730551266695,0.7028453727798017,1,0.9533060896296309,1,0.9515228338336684,0.8944207872477601,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9814,0.015,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,2,0,0,1,1,0,1,1,88,330,0.26666666666666666,80.3148563703012,0.33108676712687646,78,8,-0.007811750498621271,-0.02498464437948353,FALSE,FALSE,FALSE,FALSE,FALSE
20,2000,2000-01-01,5,0,0,4,0,0,1,Infrequent,No Allegations,No Allegations,No Allegations,No Allegations,0,1342.7368811887,5.182690285805825,43686.45230392286,4.218021416668378,30735.773,7.202465258630747,1.743997686555214,0.7093705664505803,1,0.9563076537186521,1,0.9515228338336684,0.8892439661073112,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9815,0.0154,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,1,87,330,0.2636363636363636,82.974791882676,0.38120550337840947,93,8,-6.513669266272089e-5,-0.027773657456082283,FALSE,FALSE,FALSE,FALSE,FALSE
20,2001,2001-01-01,7,1,3,3,0,0,0,Infrequent,No Allegations,No Allegations,No Allegations,No Allegations,0,1366.51432219639,1.7708190890414965,44045.967010976594,0.822943242341178,31024.732,7.220018486247256,1.752447873817939,0.7159975940594737,1,0.9563076537186521,1,0.9515228338336684,0.8892439661073112,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9817,0.0158,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,89,323,0.2755417956656347,78.5148684135536,0.2962204842952546,92,9,0.007681477113295828,-0.025012582290991466,FALSE,FALSE,FALSE,FALSE,FALSE
20,2002,2002-01-01,4,1,1,2,0,0,0,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1407.64662614014,3.0100163075962723,44942.74176381583,2.0359974220017745,31320.889,7.249674529465562,1.7667244002859515,0.7227259589717768,1,0.9563076537186521,1,0.9515228338336684,0.8892439661073112,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9816,0.0164,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,89,327,0.27217125382262997,75.8423206653148,0.24294943469274335,91,9,0.015428090919254378,-0.016701418884211068,FALSE,FALSE,FALSE,FALSE,FALSE
20,2003,2003-01-01,9,3,3,2,0,0,1,Several,Systematic,Several,No Allegations,No Allegations,0,1433.01626561116,1.802273312058812,45308.74717048536,0.8143815715404515,31627.806,7.267536778504269,1.7753233515790197,0.7296319797154591,1,0.9563076537186521,1,0.9515228338336684,0.8892439661073112,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9817,0.0166,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,91,327,0.2782874617737003,69.9522601068369,0.11859420294942778,90,9,0.023174704725212932,-0.0028401672357411,FALSE,TRUE,FALSE,FALSE,FALSE
20,2004,2004-01-01,8,1,2,1,0,0,4,No Allegations,No Allegations,No Allegations,Several,No Allegations,0,1477.238591688,3.085961209099042,46236.79335644841,2.0482715676755507,31949.417,7.297929807527492,1.7899546656791179,0.7367970964154514,1,0.9572433586723623,1,0.9515228338336684,0.9099440415842062,1.6003327528728872,1.8898392157905397,1.593842747365703,1.3297591451677044,Parliamentary democracy,1,0.9818,0.0171,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,2,0,0,1,1,0,1,1,89,327,0.27217125382262997,70.2858143044624,0.12591149735210966,NA,9,0.03092131853117148,0.01657117265441845,FALSE,FALSE,FALSE,FALSE,FALSE
20,2005,2005-01-01,5,1,2,2,0,0,0,No Allegations,No Allegations,No Allegations,No Allegations,No Allegations,0,1524.5306440763702,3.20138213653969,47216.66217819666,2.119240437359593,32287.98,7.329441867293108,1.8051246852260179,0.7442623713207556,1,0.9572433586723623,1,0.9515228338336684,0.9099440415842062,1.6003327528728872,1.8898392157905397,1.6492932450932365,1.3297591451677044,Parliamentary democracy,1,0.9809,0.0181,Never colonized,Common,3,0.40284899999999996,1,0.043,2,0.82,3,0.863,-0.3462452429070089,-0.31719939806912195,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,89,324,0.27469135802469136,69.8088534594941,0.11543751013240278,NA,9,0.038667932337130034,0.041532600786267575,FALSE,FALSE,FALSE,FALSE,FALSE
40,1995,1995-01-01,25,6,15,0,0,0,4,"Allegation, No LoT",Routinely,No Allegations,No Allegations,No Allegations,1,31.0181008778065,2.4572011431334118,2844.1205373760677,1.9361990288930937,10906.043,3.4345709333663685,-0.06988026969578023,-0.02440993864621926,0,0.37375133638427527,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0384,0.0265,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,323,0.1826625386996904,29.3084176228486,-1.2195646381803178,19,1,-0.03879820572245547,0.041672290343807275,FALSE,FALSE,FALSE,FALSE,FALSE
40,1996,1996-01-01,21,3,17,0,0,0,1,"Allegation, No LoT",Routinely,"Allegation, No LoT",No Allegations,No Allegations,1,33.4495322533005,7.8387499772227915,3051.682842177392,7.297943321094877,10961.012,3.510037803017589,-0.03355024569012796,-0.020849375621295057,0,0.37375133638427527,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0386,0.0271,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58,325,0.17846153846153845,32.6253336188356,-1.0546451180192769,23.5,1,-0.031051591916496923,0.01668292430045021,FALSE,FALSE,FALSE,FALSE,FALSE
40,1997,1997-01-01,32,3,25,0,0,0,4,Routinely,Routinely,Routinely,No Allegations,No Allegations,1,34.380574916348294,2.783425059571442,3121.538767251438,2.2890951873689245,11013.983,3.537491722221758,-0.020333829687366477,-0.017435085262591854,0,0.37375133638427527,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0405,0.0277,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,0,59,328,0.1798780487804878,32.7541989853727,-1.0485813273069158,28,1,-0.02330497811053837,-0.002756353501217277,FALSE,FALSE,FALSE,FALSE,FALSE
40,1998,1998-01-01,28,2,25,0,0,0,1,Routinely,Systematic,Systematic,No Allegations,No Allegations,1,34.43529024334941,0.159146050158366,3112.3452951785766,-0.2945173120805531,11064.097,3.539081917692065,-0.019568303836394713,-0.014220027828831765,0,0.43366387684492175,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0431,0.0285,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,337,0.18991097922848665,32.5046329239996,-1.060346480475228,26.5,1,-0.01555836430457982,-0.01664554306119519,FALSE,TRUE,TRUE,FALSE,FALSE
40,1999,1999-01-01,30,2,27,0,0,0,1,"Allegation, No LoT",Routinely,Routinely,No Allegations,No Allegations,1,36.5664060957142,6.18875530685091,3291.30449419408,5.7499789400852785,11110.004,3.5991299526728504,0.009339037390642726,-0.011287624285408814,0,0.43366387684492175,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0462,0.0293,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,330,0.19696969696969696,31.8689321994188,-1.090727930785932,25,1,-0.007811750498621271,-0.02498464437948353,FALSE,FALSE,FALSE,FALSE,FALSE
40,2000,2000-01-01,16,4,12,0,0,0,0,No Allegations,Several,Several,No Allegations,No Allegations,0,38.7292212637745,5.914760018797116,3473.2434938621536,5.527868964692192,11150.736,3.6565943865280923,0.03700262369123596,-0.008695911648619157,0,0.43366387684492175,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0518,0.032,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,330,0.19696969696969696,31.0759878817225,-1.1294852936548194,28,1,-6.513669266272089e-5,-0.027773657456082283,FALSE,FALSE,FALSE,FALSE,FALSE
40,2001,2001-01-01,12,0,12,0,0,0,0,No Allegations,Several,No Allegations,No Allegations,No Allegations,0,39.9627585428036,3.1850299044945984,3572.3960579420877,2.8547541874088167,11186.542,3.687947984000405,0.05209635891699881,-0.006425439631343562,0,0.43366387684492175,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0582,0.0346,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,323,0.20123839009287925,29.3610963815873,-1.2168023282898144,29.3333333333335,1,0.007681477113295828,-0.025012582290991466,FALSE,FALSE,FALSE,FALSE,FALSE
40,2002,2002-01-01,16,2,13,0,0,0,1,"Allegation, No LoT",Several,No Allegations,No Allegations,No Allegations,0,40.5321564231685,1.4248212614127513,3613.1363566982723,1.1404194298560881,11217.998,3.702095644829796,0.05890709401083603,-0.004436791375511843,0,0.43366387684492175,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0673,0.0373,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,327,0.19877675840978593,24.7293133475239,-1.4808863110252761,30.6666666666665,1,0.015428090919254378,-0.016701418884211068,FALSE,FALSE,FALSE,FALSE,FALSE
40,2003,2003-01-01,23,0,22,0,0,0,1,No Allegations,No Allegations,Several,No Allegations,No Allegations,0,42.0694358230969,3.7927402230434426,3741.206408344496,3.544567350988542,11244.885,3.739321487079823,0.07682774911186858,-0.002741410486719029,0,0.41558111053048513,1,0.07230445955569881,0.06755766379557725,2.5650775751462898,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0751,0.0397,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,327,0.20489296636085627,26.5871335777077,-1.3694603995840382,32,1,0.023174704725212932,-0.0028401672357411,FALSE,FALSE,FALSE,FALSE,FALSE
40,2004,2004-01-01,20,0,20,0,0,0,0,No Allegations,Several,Several,No Allegations,No Allegations,0,44.49706863319361,5.770538070215544,3949.3477984125066,5.563483201669007,11266.941,3.7954233135910664,0.10383537130865665,-0.001353675963744684,0,0.41558111053048513,1,0.07230445955569881,0.06755766379557725,1.011868987328023,1.065522951570681,1.392487517033147,0.32861705082783865,Civilian dictatorship,0,0.0879,0.0417,Spanish,Civil,2,0.539762,0,0,2,1,0,0,-1.2824605270724903,-1.125166231731495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,327,0.2018348623853211,31.3114153338743,-1.1178758476973496,NA,1,0.03092131853117148,0.01657117265441845,FALSE,FALSE,FALSE,FALSE,FALSE
